reward_today,future_reward,delay,key_resp.keys,k,,,
78,80,162,t,0.000158278,,,
87,90,153,t,0.000225378,,,
74,80,317,t,0.000255776,,,
76,84,349,t,0.000301614,,,
80,88,277,t,0.000361011,,,
77,86,297,t,0.000393546,,,
84,86,50,t,0.00047619,,,
90,99,204,t,0.000490196,,,
59,65,174,t,0.000584454,,GEOMEAN,0.001148779
68,73,124,t,0.000592979,,SQRT,0.001148779
68,72,98,t,0.00060024,,,
55,65,299,t,0.000608088,,,
82,90,159,t,0.000613591,,,
72,86,309,t,0.00062927,,,
49,60,342,t,0.000656403,,,
25,31,359,t,0.000668524,,,
71,81,188,t,0.000749176,,,
51,59,208,t,0.000754148,,,
75,94,332,t,0.000763052,,,
21,24,161,t,0.000887311,,,
23,29,278,t,0.00093838,,,
50,62,248,t,0.000967742,,,
67,75,119,t,0.001003386,,,
75,97,290,t,0.001011494,,,
61,69,121,t,0.001083864,,,
28,35,219,t,0.001141553,,,
53,74,346,t,0.001145163,,,
39,47,178,l,0.001152406,,,
92,98,52,l,0.001254181,,,
27,30,67,t,0.001658375,,,
63,82,177,t,0.001703883,,,
41,67,358,t,0.001771358,,,
46,66,234,t,0.001858045,,,
49,73,250,t,0.001959184,,,
48,83,354,l,0.002059793,,,
45,77,305,t,0.002331512,,,
40,61,213,t,0.002464789,,,
45,72,241,t,0.002489627,,,
41,67,254,t,0.002496639,,,
49,60,89,l,0.002522357,,,
69,90,118,t,0.002579219,,,
91,97,25,l,0.002637363,,,
20,39,355,t,0.002676056,,,
44,47,25,t,0.002727273,,,
34,58,256,t,0.002757353,,,
52,97,312,l,0.002773669,,,
58,99,249,t,0.002838942,,,
38,55,141,t,0.003172826,,,
35,73,324,l,0.00335097,,,
26,57,332,t,0.003591288,,,
29,64,330,t,0.003657262,,,
32,53,179,t,0.003666201,,,
50,85,188,t,0.003723404,,,
35,68,248,t,0.003801843,,,
71,85,50,l,0.003943662,,,
23,52,303,l,0.004161286,,,
50,99,221,t,0.004434389,,,
50,70,89,l,0.004494382,,,
37,80,256,t,0.004539696,,,
37,66,162,l,0.004838172,,,
24,51,223,l,0.005044843,,,
33,93,352,l,0.005165289,,,
25,56,237,t,0.005232068,,,
62,81,57,t,0.005376344,,,
30,57,160,l,0.005625,,,
18,49,301,l,0.005721669,,,
30,63,192,t,0.005729167,,,
14,41,324,t,0.005952381,,,
62,79,46,l,0.005960729,,,
38,90,228,l,0.006001847,,,
40,55,62,l,0.006048387,,,
14,46,348,t,0.006568144,,,
40,79,146,l,0.006678082,,,
10,26,203,t,0.007881773,,,
20,65,276,t,0.008152174,,,
36,70,112,l,0.00843254,,,
55,65,21,l,0.008658009,,,
60,92,60,l,0.008888889,,,
43,64,54,l,0.009043928,,,
22,37,73,l,0.009339975,,,
42,78,91,l,0.009419152,,,
11,47,332,l,0.009857612,,,
16,42,152,t,0.010690789,,,
13,71,314,t,0.014208721,,,
15,45,137,t,0.01459854,,,
59,85,29,l,0.015195792,,,
12,65,284,t,0.015551643,,,
34,95,112,l,0.016018908,,,
17,55,113,l,0.019781364,,,
15,94,266,l,0.019799499,,,
12,57,181,l,0.020718232,,,
17,51,94,l,0.021276596,,,
15,33,53,l,0.022641509,,,
21,67,75,l,0.029206349,,,
36,96,44,l,0.037878788,,,
27,50,21,l,0.040564374,,,
31,54,15,l,0.049462366,,,
15,35,13,l,0.102564103,,,
10,20,7,l,0.142857143,,,
11,30,7,l,0.246753247,,,
